"fluorobenzene",                          "C6H5F",    "462-06-6",    0.70,      11, 19, ""
"p-xylene",                               "C8H10",    "106-42-3",    0.690,     22, 25, "1,4-dimethylbenzene"
"2-methyltetrahydrofuran",                "C5H10O",   "96-47-9",     0.67,      13, 19, ""
"toluene",                                "C7H8",     "108-88-3",    0.660,     22, 25, "methylbenzene"
"1,1-dichloroethane",                     "C2H4Cl2",  "75-34-3",     0.63,      13, 25, "ethylidene dichloride"
"bromomethane",                           "CH3Br",    "74-83-9",     0.63,      13, 20, "methyl bromide"
"1,2,3,5-tetrachlorobenzene",             "C6H2Cl4",  "634-90-2",    0.59,      11, 25, ""
"1,2,4-trimethylbenzene",                 "C9H12",    "95-63-6",     0.569,     22, 25, "pseudocumene"
"benzene",                                "C6H6",     "71-43-2",     0.557,     22, 25, "[6]annulene"
"o-xylene",                               "C8H10",    "95-47-6",     0.551,     22, 25, "1,2-dimethylbenzene"
"furan",                                  "C4H4O",    "110-00-9",    0.54,      13, 25, "oxacyclopentadiene"
"iodomethane",                            "CH3I",     "74-88-4",     0.54,      13, 20, "methyl iodide"
"2-ethyltoluene",                         "C9H12",    "611-14-3",    0.529,     13, 25, ""
"iodoethane",                             "C2H5I",    "75-03-6",     0.52,      13, 25, "ethyl iodide"
"4-ethyltoluene",                         "C9H12",    "622-96-8",    0.500,     13, 25, ""
"dibutyl ether",                          "C8H18O",   "142-96-1",    0.48,      13, 20, ""
"1,3,5-cycloheptatriene",                 "C7H8",     "544-25-2",    0.47,      13, 25, "tropilidene"
"cis-1,2-dichloroethene",                 "C2H2Cl2",  "156-59-2",    0.46,      13, 25, "cis-1,2-dichloroethylene"
"trichloromethane",                       "CHCl3",    "67-66-3",     0.43,      13, 25, "chloroform"
"m-dichlorobenzene",                      "C6H4Cl2",  "541-73-1",    0.376,     11, 25, "1,3-dichlorobenzene"
"2,3-dichloropropene",                    "C3H4Cl2",  "78-88-6",     0.36,      5,  25, ""
"1,2,3-trimethylbenzene",                 "C9H12",    "526-73-8",    0.343,     22, 25, "hemimellitene"
"chlorobenzene",                          "C6H5Cl",   "108-90-7",    0.32,      28, 25, "phenyl chloride"
"dichloromethane",                        "CH2Cl2",   "75-09-2",     0.30,      13, 25, "methylene chloride"
"styrene",                                "C8H8",     "100-42-5",    0.30,      13, 50, "vinylbenzene"
"1,2-dichloropropane",                    "C3H6Cl2",  "78-87-5",     0.29,      13, 25, "propylene dichloride"
"styrene",                                "C8H8",     "100-42-5",    0.286,     22, 25, "vinylbenzene"
"1,2,4-trichlorobenzene",                 "C6H3Cl3",  "120-82-1",    0.277,     11, 25, ""
"diisopropyl ether",                      "C6H14O",   "108-20-3",    0.26,      13, 20, "isopropyl ether"
"dipropyl ether",                         "C6H14O",   "111-43-3",    0.26,      13, 25, "propyl ether"
"bromobenzene",                           "C6H5Br",   "108-86-1",    0.250,     28, 25, "phenyl bromide"
"pentachloroethane",                      "C2HCl5",   "76-01-7",     0.25,      13, 25, "refrigerant 120"
"p-dichlorobenzene",                      "C6H4Cl2",  "106-46-7",    0.244,     28, 25, "1,4-dichlorobenzene"
"1,2,3-trichlorobenzene",                 "C6H3Cl3",  "87-61-6",     0.242,     11, 25, ""
"1,1,1,2-tetrachloroethane",              "C2H2Cl4",  "630-20-6",    0.24,      13, 25, ""
"cis-1,3-dichloropropene",                "C3H4Cl2",  "10061-01-5",  0.24,      5,  20, "cis-1,3-dichloropropylene"
"o-dichlorobenzene",                      "C6H4Cl2",  "95-50-1",     0.195,     28, 35, "1,2-dichlorobenzene"
"trans-1,3-dichloropropene",              "C3H4Cl2",  "10061-02-6",  0.18,      5,  20, "trans-1,3-dichloropropylene"
"bromochloromethane",                     "CH2BrCl",  "74-97-5",     0.18,      13, 25, "halon 1011"
"1,2,3,4-tetrachlorobenzene",             "C6H2Cl4",  "634-66-2",    0.144,     11, 25, ""
