2.80E-03  "aldrin"                                         "309-00-2"    "L"
1.10E-03  "dieldrin"                                       "60-57-1"     "L"
5.30E-03  "1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane" "50-29-3"     "L"
1.23E-04  "parathion"                                      "56-38-2"     "V"
2.00E-05  "methylparathion"                                "298-00-0"    "L"
3.80E-05  "malathion"                                      "121-75-5"    "V"
3.04E-04  "methylchlorpyrifos"                             "5598-13-0"   "V"
3.69E-05  "fenitrothion"                                   "122-14-5"    "V" ! avg(7.39e-6,6.65e-5)
2.28E-05  "dicapthon"                                      "2463-84-5"   "V"
2.10E-03  "ronnel"                                         "299-84-3"    "L"
2.70E-04  "leptophos"                                      "21609-90-5"  "L"
