,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
637,132.053492116,0.7561,0.75,0,0,1,0,0,4,0,58.97,0.43218855654955896,0.9677491560612146,0.004400358383653724,0.25191580129639923,0.7620380135414747,173.17635226536618,523.8534573597013,687.4374349452188,2.2889890008576823,0.1076774844171802
1121,204.034192588,4.1323000000000025,0.0,0,0,0,2,0,1,0,9.23,0.663867064641236,0.9915777183652152,0.003653894333245218,0.12951304351930776,0.9609578265962287,262.99551627776583,1951.367930668376,2030.6488762157649,3.22041795284557,0.30776932099905097
841,145.9456832,2.4174000000000007,1.0,0,0,0,0,0,0,0,0.0,0.22345744230307985,0.9133452794659006,0.003956675386302389,0.4071859531925873,0.8209785352546277,207.49201162591518,418.35059988209116,509.57556369283037,1.9623074135479373,0.5978238114240351
849,106.054928032,2.415400000000001,1.0,0,0,0,0,0,0,0,0.0,0.6857824608961555,0.992905719676973,0.015104478259119081,0.11890429694822725,0.9342167774207228,61.85031759416812,485.9505154000528,520.1689020633013,2.2381748989721677,0.3234910740190496
482,390.27700969600113,6.7212000000000085,0.6666666666666666,0,0,0,1,0,4,0,52.60000000000001,0.7569006317910502,0.9959909523300244,0.0008822351432644183,0.08945402660993311,0.968464975389665,1097.740191811201,11884.573206329318,12271.557060230827,5.6859478400666745,0.09623907584007188
1222,121.973112324,1.7897,1.0,0,0,0,0,0,0,0,0.0,0.3747870527342647,0.9581754027491088,0.012588229335709236,0.2861815814593654,0.7884700788503054,62.635503200886205,172.56952699677353,218.86629768932124,1.3586476580037934,0.48071548061479
511,168.057514876,3.5860000000000016,0.0,0,0,0,2,1,1,0,13.14,0.5098558178371214,0.9786172819526668,0.0036321578136845898,0.20568960951777507,0.7943103904844155,218.68829253281785,844.5073304546356,1063.1956229851244,2.5142013161618797,4.798448344943278e-12
1274,219.929054592,3.1111000000000013,0.14285714285714285,0,0,0,1,0,1,0,9.23,0.5145718579042832,0.9792010429871844,0.002431789879759066,0.20289237889287545,0.7991405696954789,328.6223766070838,1294.3584903951705,1619.688124316351,2.7056279307611133,0.04495627015213425
698,119.05824314799999,0.8507,1.0,0,0,0,0,0,3,0,52.37,0.5455523240441391,0.9828085075261536,0.00831846357928023,0.18462783520968604,0.8793771823688598,105.71389463785444,503.5123046224069,572.5783141951092,2.227232124015935,0.25607610949558696
1373,413.91490618200027,6.902600000000002,0.14285714285714285,0,0,0,2,0,4,0,44.76000000000001,0.19870571699991024,0.8918386236924055,0.00026843393176768064,0.4523536993221519,0.6839752635020132,2548.0208817042103,3852.7003461756026,5632.806552753736,3.802964680221208,0.2269157851587283
87,142.172150704,3.858800000000003,1.0,0,0,0,0,0,0,0,0.0,0.32820180445450703,0.9464683299764723,0.003516323492902889,0.3227966857815417,0.931853024497168,265.00776347169347,765.0273276766362,820.9742390324358,2.5503995368859504,0.4413207730401343
251,252.09390038400002,5.640400000000002,0.0,1,0,0,4,0,0,0,0.0,0.5264067462368592,0.9805115266218862,0.001440367018315446,0.1964615640821844,0.8035384359302749,557.8706161086902,2281.721029829091,2839.5916459024015,3.3547143726895,5.023223570970607e-11
522,154.135765196,2.7441000000000013,1.0,0,2,0,0,0,1,0,9.23,0.2696848730444768,0.9288441981912856,0.0038153579684382225,0.3704705865333813,0.9281076220841776,243.255712769748,609.4073034237489,656.6127558086973,2.2118338122023715,0.4616974621135032
468,186.16197994400002,3.3001000000000023,0.9090909090909092,0,0,0,0,0,2,0,26.3,0.5976915900416855,0.9873146672731592,0.0022985682231052885,0.1587757783394265,0.8847599255926072,384.91784437763016,2144.9108101537954,2424.285671299077,3.64642608802268,0.14333509276901726
137,112.125200512,2.832600000000001,1.0,1,0,0,0,0,0,0,0.0,0.20838591162067216,0.8869663212765322,0.003234000521241185,0.4618341097419889,0.6286674884494204,194.393131454457,264.6158851098404,420.9154918484864,1.9800689670836875,0.3119801214121225
782,114.028106568,1.9648,0.0,0,0,0,1,0,0,0,0.0,0.2746128319061169,0.9123448845992901,0.003755425989159281,0.4094225342424476,0.5905774657636471,157.25978024023266,226.841648207442,384.1014284453336,1.834811941626844,2.2097524198775907e-11
931,315.93801097600016,6.187900000000003,0.0,0,0,0,2,0,0,0,0.0,0.3295096516667773,0.9472858277532202,0.0005479821847180628,0.3203897010484205,0.7588384167905694,1384.7866553928068,3279.84735380796,4322.194661255743,3.7588430192554623,0.4756199972893083
390,114.104465068,2.0116,0.8571428571428571,0,0,0,0,0,1,0,17.07,0.13037324173202208,0.8554681731935632,0.004441628616845986,0.5178553897111313,0.8532474533325405,192.102385619632,316.51861613430145,370.95758668610176,1.9625109715841784,0.6131651576458648
14,100.125200512,2.832600000000001,1.0,0,0,0,0,0,0,0,0.0,0.6153041617695513,0.9885991490060472,0.010973486827668006,0.1505713205910047,0.908775664080576,82.81557889049763,499.8347786751462,550.0089828889044,2.3773326850374312,0.21922473495676686
504,104.083729624,0.4037,1.0,0,0,0,0,0,2,1,29.46,0.4489918870986812,0.9701865974386288,0.009524399915785658,0.2423591676633178,0.9551483846482424,100.2843636442846,395.2251893907337,413.78407349375914,2.089341946800292,0.3757359461533864
1072,179.87032534,2.122,0.5,0,0,0,0,0,1,0,17.07,0.07289250620813525,0.7803360905637148,0.002707339711635959,0.6253603647208048,0.9297487141033064,343.41782455571075,510.573261104222,549.1518873426386,1.964262895328991,0.5588783670425699
1215,249.762836332,2.4547,1.0,0,0,0,0,0,0,0,0.0,0.2390601033677885,0.8616932527864312,0.0012021262612696756,0.5074295400371757,0.507429738817136,422.11018523228427,422.11035058932265,831.859700563273,1.8209714921077989,0.4946803092556499
815,335.10929065200037,4.1482000000000046,0.5384615384615384,0,0,0,1,0,5,0,89.51999999999998,0.2270702061733309,0.914570185939941,0.0006175399038918676,0.40442721840867946,0.8625662348224944,1396.778134313943,2979.061747965947,3453.719410404467,3.41702803207738,0.4838588235960861
68,128.15650064,3.324600000000002,1.0,0,0,0,0,0,0,0,0.0,0.17739947517729654,0.886005461270511,0.003967371436364457,0.4636748026352402,0.9250269616539176,233.158648362296,465.14935651479993,502.84951228138067,2.1639192939641223,0.6013784949475013
1301,118.08162144799999,2.539600000000001,1.0,0,0,0,0,0,1,0,0.0,0.5835439808471429,0.9858629707135106,0.009118010025109823,0.16755358240256166,0.9526770858221956,104.48300486604488,594.0700471242693,623.5796535523522,2.364455438860912,0.22617849968440046
112,142.172150704,3.7147000000000028,1.0,0,0,0,0,0,0,0,0.0,0.3217812581945376,0.946501969474704,0.003359654691295935,0.3226980349808577,0.8535147595231714,254.04835852161372,671.9409482728769,787.2634196135831,2.453661410788945,0.365897629745621
1348,403.8168811320002,3.6898000000000013,0.7777777777777778,2,1,0,0,0,3,0,35.53,0.07767633945175242,0.7853329215169685,0.000557733590736246,0.6190736647456608,0.9478220117587384,1699.4171186776637,2601.8631448392457,2745.096771925921,2.942446806142076,0.6544867233300424
786,185.99041932,2.5212,0.0,0,0,0,1,0,0,0,0.0,0.2499999999991388,0.8660254414748628,0.00101159189842135,0.4999999347182647,0.5000000652829008,494.2705314892112,494.2706605577322,988.5411920457914,2.3050368871556945,2.132698654819934e-12
1239,389.68899846400006,4.7366,0.0,0,0,0,1,0,0,0,0.0,0.384945734891176,0.9576572892974352,0.000680956858748179,0.2879106046249224,0.7120893953771786,1045.718809097879,2586.3766827038003,3632.095491794048,3.0373652836510576,2.0115278685861854e-11
1198,99.98913421600001,1.8379,1.0,0,0,0,0,0,0,0,0.0,0.09328320607854618,0.8026103657056334,0.010109060929518795,0.5965036469811978,0.9786477613613298,96.80896852680405,158.8286690415533,162.29400946119534,1.4420004773001711,0.62434181616031
1181,327.09051758800064,3.7757000000000014,0.4666666666666667,0,0,0,1,1,4,1,50.94,0.2798508408789671,0.9345104595700088,0.0006082337032845501,0.35593566968519863,0.8218824893638071,1351.2610118865869,3120.1642847760577,3796.363014366296,3.5488033933869034,0.31082127651716074
616,27.010899031999998,0.13978,0.0,0,0,0,0,0,1,0,23.79,1.0,1.0,0.0,0.0,1.0,0.0,11.470862091888804,11.470862091888804,0.6514890835960917,0.0
973,289.9223609120002,5.967200000000003,0.0,0,0,0,2,0,0,0,0.0,0.2480959237412353,0.922892607758478,0.0009431259773747836,0.3850574431753737,0.8737807392896709,926.4729847881648,2102.3726821231967,2406.0643449663285,3.0506733249594173,0.3659129318346763
974,289.9223609120002,5.967200000000003,0.0,0,0,0,2,0,0,0,0.0,0.20902402556105185,0.9023734050492671,0.0008384895229094338,0.4309550299738842,0.9423777523204214,1123.8992576204305,2457.6523826514217,2607.926998064133,3.2555664179383967,0.3884505421164638
628,59.03711378,-0.5084000000000002,0.5,0,0,1,0,0,1,1,43.09,0.230096366880212,0.8783666305627194,0.011943016217052752,0.4779875127175347,0.5557938537798327,46.537143019721114,54.11241376533391,97.36058324021973,1.2946506225697219,0.19765432851155207
941,222.000305616,4.660400000000002,0.0,0,0,0,2,0,0,0,0.0,0.5404313364030866,0.9822817738187946,0.002270025057109035,0.18741002327357714,0.8917748834376096,392.8480351548717,1869.334439212584,2096.195434442696,3.1253287906245713,0.275562107487731
150,70.07825032,1.9725,0.6,0,0,0,0,0,0,0,0.0,0.5999535334107796,0.9874877152608716,0.023732618941723897,0.157695948612714,0.8825140055621166,37.185698204195425,208.1023625559566,235.80630023362176,1.851964829361532,0.1784359686282951
1217,107.95746226,1.4012,1.0,0,0,0,0,0,0,0,0.0,0.6814501906677668,0.9926952291999476,0.054155833406266576,0.120649002994901,0.9243992887165136,17.069246848845424,130.78267747199004,141.4785570135778,1.1522231390859872,0.520377735577072
1349,204.95197552,2.627600000000001,0.0,0,0,0,1,0,1,1,26.02,0.16630280728823735,0.8464740714228473,0.0009900633138170505,0.5324299450714886,0.6050270962305928,611.0993991869022,694.4231789004054,1147.7555025663532,2.4396220859677364,0.21787904644622888
1269,161.863867492,2.1425,1.0,0,0,0,0,0,0,0,0.0,0.2869752076618575,0.9277964328035854,0.004182273717925929,0.37308682538645344,0.6568960990992776,157.06674010448205,276.5483041809404,420.99245917297685,1.6150016217993215,0.5717944043697704
110,142.172150704,3.858800000000003,1.0,0,0,0,0,0,0,0,0.0,0.1931523235727737,0.8765986949106606,0.0014953258914565404,0.4812221192764593,0.6273115031227752,419.51490755753235,546.8712195482854,871.7697935171669,2.5415291232992367,0.2726461441475517
1157,238.050905272,1.95758,0.2727272727272727,0,0,1,1,0,3,1,62.12,0.6785438309054131,0.9925518815398514,0.001932816976347961,0.12182266805361215,0.9140382399169332,472.9047039125245,3548.214713393199,3881.910579272545,4.068921033917421,0.09842284178285522
1263,242.005475072,2.542600000000001,0.2222222222222222,0,0,2,1,0,1,1,32.34,0.8089993749929326,0.9976633772772626,0.004735476236194643,0.06832119465968259,0.945524206330652,199.6682401452533,2763.288248005231,2922.493395202304,3.4791950979125708,0.0843210291144521
725,119.03711378,1.26388,0.0,0,0,0,1,0,2,1,44.02,0.4207358500902051,0.9652203406779908,0.0049766460335969615,0.26143774391136343,0.7385622560891036,148.40562320549333,419.2462429147917,567.6518661200199,2.1829471624033774,1.6733845129548943e-12
1216,327.67334839999995,3.1773,1.0,0,0,0,0,0,0,0,0.0,1.657741770473859e-15,0.0003738447793348584,0.0012053795987091154,0.999999930120038,0.9999999732765836,829.6141517141318,829.6141875174153,829.6142096875412,1.937130024363389,0.9999999355977459
1283,155.94359816,1.4413,1.0,0,0,0,0,0,0,0,0.0,0.7337051569319474,0.995141201283798,0.05362226328057159,0.0984580596367782,0.9370625780548236,17.475252268852664,166.31858279169845,177.4893018745306,1.0762022128181146,0.4913234254416066
677,99.068413908,0.2385999999999999,0.8,0,1,1,0,0,1,0,20.31,0.2184081443788462,0.8795650045444059,0.004280496963152354,0.4757787330060048,0.5805084298800302,135.6170638309523,165.46945739260764,285.042298915115,1.7193821579237718,0.279787431489815
622,60.06874825599999,-1.0962,1.0,0,0,0,0,0,2,2,52.04,0.34168206999648465,0.9514310871038452,0.023143825546960883,0.3078617977151363,0.8237055671335209,35.59072658330185,95.22545454671518,115.6061805896224,1.4318180201846369,0.4032341541682884
