,Experimental,Predicted
322,1.5296344045080732,[1.22090599]
323,1.2378743560016174,[1.2039728]
324,1.203972804325936,[0.88875051]
325,0.6788987276855845,[1.04383662]
326,0.3710636813908319,[0.68026535]
327,1.01406757563395,[1.01406758]
328,1.3093333199837622,[1.1888391]
329,2.2072749131897207,[1.29713204]
330,0.9675840262617056,[0.80596791]
331,1.3918824711079658,[1.00831715]
332,1.7995479360454034,[1.2113809]
333,1.6647894405441281,[1.66478944]
334,-1.3246610685169722,[-1.32466107]
335,-3.2461199175102347,[0.89702993]
336,1.046034204948573,[0.45080471]
337,-2.4849066497880004,[-2.48490665]
338,1.828247778309028,[1.82824778]
339,-1.4586150226995167,[-1.45861502]
340,-1.1817034560923834,[-0.44081684]
341,-1.4350845252893227,[-1.43508453]
342,-0.2623642644674911,[-0.26236426]
343,-0.9932517730102834,[-0.99325177]
344,-1.2237754316221157,[-1.22377543]
345,-0.8251686458562943,[-0.82516865]
346,-1.76611282203428,[-0.51384848]
347,0.6006548434532261,[-0.31678065]
348,-0.916290731874155,[-0.90142447]
349,2.0402208285265546,[0.11333608]
350,-0.7884573603642702,[-0.07764153]
351,1.0829105600716329,[1.08291056]
352,-1.791759469228055,[0.20175932]
353,-2.662401854731745,[-2.66240185]
354,-1.5562164810724926,[-1.55621648]
355,-2.0174345939379283,[-1.67810708]
356,-2.421222659930513,[-2.06678758]
357,-2.4908244306431384,[-0.96123999]
358,-2.569618670799101,[-2.26715781]
359,-1.0209957408527606,[-1.02099574]
360,-2.030016026521069,[-2.10966045]
361,-0.947993767415919,[-1.00084491]
362,-3.5270941115239616,[-3.52709411]
363,-3.0979325166207836,[-3.09793252]
364,-2.19722457733622,[-2.17894086]
365,-2.4849066497880004,[-1.18625795]
366,-0.5873291036314616,[-0.5873291]
367,-3.5819733421712736,[-3.58197334]
368,-1.2323519712352404,[-1.34561371]
369,-2.180911963678181,[-2.18091196]
370,-2.5712019831517217,[-1.51470882]
371,-1.3411952271608159,[-1.34119523]
372,-0.9555114450274363,[-1.63041739]
373,-0.916290731874155,[-1.29704406]
374,-1.3697744340807905,[-1.36977443]
375,-1.656158834659916,[-1.22818646]
376,-0.8754687373538999,[-0.87546874]
377,-1.0986122886681098,[-1.09861229]
378,-1.589235205116581,[-1.05705633]
379,-0.4777557225137182,[-1.64700382]
380,0.9019375687206728,[-1.70202567]
381,-0.8329091229351039,[-0.83290912]
382,5.843044541989709,[5.84304454]
383,-3.821378100266765,[-2.01724425]
384,-4.532078930899051,[-1.88002816]
385,-1.9021075263969205,[-1.40252543]
386,-4.5260893607568535,[-4.52608936]
387,-5.293292198621286,[-5.2932922]
388,-0.5014176666371705,[-0.50141767]
389,1.83258146374831,[1.83258146]
390,-6.442707322270367,[-6.44270732]
391,-7.2671627426363985,[-7.26716274]
392,-9.39818684686343,[-9.39818685]
393,-12.38368321353971,[-12.38368321]
394,-6.739319120660862,[-6.73931912]
395,-8.853665428037448,[-8.85366543]
396,-8.733800543356763,[-8.28755267]
397,-6.416005538198334,[-6.41600554]
398,-23.121161109744786,[-20.42646625]
399,-7.244227515603349,[-7.24422752]
400,-10.043249494911286,[-10.04324949]
401,-11.156250521031497,[-11.15625052]
402,-8.242756345714477,[-8.24275635]
403,-25.013725278094807,[-25.01372528]
404,-26.689412576070104,[-26.68941258]
405,-26.854492326429554,[-26.85449233]
406,-27.230543549331426,[-27.23054355]
407,-7.438383530044308,[-7.43838353]
408,-9.546812608597397,[-9.54681261]
409,-34.12326095094902,[-33.54735916]
410,-35.126563059812796,[-35.12656306]
411,-34.433415879252856,[-31.78471882]
412,-11.918390573078392,[-8.20488903]
413,-5.828945617610208,[-5.82894562]
414,-10.435842921032345,[-7.13989314]
415,-6.347316920535188,[-6.34731692]
416,-10.74987359757106,[-10.7498736]
417,-12.033759479093193,[-12.03375948]
418,-11.05089000537367,[-11.05089001]
419,-1.2530686509551392,[-0.75300229]
420,-1.5952467365810798,[-1.59524674]
421,-9.49638117290677,[-9.49638117]
422,-9.946117474511539,[-9.94611747]
423,-5.3471075307174685,[-5.34710753]
424,6.917805614835639,[6.91780561]
425,-3.2225298783145586,[-3.22252988]
426,2.089903404557924,[2.31649188]
427,2.442519796929301,[2.4425198]
428,2.5555633309420034,[2.55556333]
429,3.3572274390149617,[3.35722744]
430,2.8171075249085518,[2.81710752]
431,3.772261063052988,[2.5849147]
432,3.7784485104403633,[2.54856542]
433,3.210542895372382,[2.89132931]
434,3.2580289755371834,[3.09982286]
435,3.1317492519807577,[3.13174925]
436,4.2176564527480735,[3.51407272]
437,4.422848629194137,[3.00335471]
438,4.385025023678072,[4.38502502]
439,1.9753357073602087,[1.97533571]
440,2.9780059211990477,[2.97800592]
441,1.4724004910989634,[1.47240049]
442,1.7877753844034665,[2.39720834]
443,0.0,[0.]
444,2.4304184645039304,[2.43041846]
445,2.0402208285265546,[2.40974592]
446,2.8473122684357177,[2.84731227]
447,3.688879454113936,[3.68887945]
448,1.1158116392586186,[1.98484867]
449,0.5804566574327445,[0.79804869]
450,-8.255744088916106,[-8.25574409]
451,-9.852194258148575,[-7.32239239]
452,-0.6830458269011855,[1.39160973]
453,-9.707135912308729,[2.96142187]
454,-5.703782474656202,[1.57824177]
455,1.666405160159545,[1.66640516]
456,-4.343805421853683,[-4.34380542]
457,1.9420600618911497,[2.40487981]
458,1.9953421853965323,[2.27025343]
459,2.674763772609136,[2.67476377]
460,2.3313933653775822,[2.33139337]
461,0.05157037945975667,[2.21914717]
462,2.322699547565644,[2.46955433]
463,1.7719568419318752,[2.80173071]
464,2.525728644308256,[2.8082849]
465,2.3434070875143007,[2.40995068]
466,2.7077204011173497,[2.7077204]
467,2.7488721956224653,[2.69026141]
468,2.9249824924171413,[2.28289347]
469,0.3982142890445031,[2.27092971]
470,2.5255668267329097,[3.14647133]
471,2.9684881809119563,[2.96848818]
472,3.1828128629561983,[3.18281286]
